Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,,307.9722222222,312.3666666667,314.9833333333,316.8277777778,318.6666666667,320.6222222222,322.4944444444,324.3611111111,326.2444444444,328.1388888889,330.2111111111,332.4944444444,334.6611111111,336.25,336.9722222222,336.6055555556,335.3666666667,333.9222222222,333.2111111111,333.8666666667,336.4833333333,340.8,345.5777777778,349.0611111111,350.1555555556,348.0222222222,343.5277777778,339.3166666667,339.0666666667,345.2666666667,359.0166666667,379.0833333333,402.7666666667,426.1111111111,446.2555555556,462.1944444444,474.7055555556,484.8666666667,494.4666666667,504.7666666667,516.0777777778,527.75,538.9722222222,548.5666666667,555.7277777778,560.1666666667,562.3277777778,563.0222222222,563.4333333333,564.4277777778,566.2888888889,568.8,571.7277777778,
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,30.5872340426,32.714893617,34.914893617,37.170212766,39.470212766,41.8,44.1595744681,46.570212766,49.0659574468,51.6574468085,54.3829787234,57.2170212766,60.0659574468,62.7957446809,65.3319148936,67.6191489362,69.7212765957,71.8,74.0829787234,76.729787234,79.7914893617,83.2170212766,86.9404255319,90.8595744681,94.8872340426,98.9680851064,103.1021276596,107.3,111.5936170213,115.9808510638,120.5829787234,125.3276595745,129.7936170213,133.4191489362,135.8595744681,136.7531914894,136.3617021277,135.7425531915,136.3489361702,139.1468085106,144.6808510638,152.4234042553,160.9425531915,168.2127659574,172.814893617,174.2063829787,172.9617021277,170.1468085106,167.3595744681,165.7595744681,165.670212766,166.7234042553,168.5489361702,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,13.714339981,14.0026697914,14.3055279846,14.6235502252,14.9572879331,15.3020938639,15.6571117851,16.0306497565,16.4341374874,16.8728686089,17.3443709218,17.8359479827,18.3291241614,18.7997258218,19.2258524033,19.616472138,19.9651686426,20.2181126122,20.3062341084,20.1887556291,19.8569187881,19.3525319364,18.7512299727,18.1573461385,17.6591872683,17.2509251601,16.945603958,16.8693824097,17.1787565481,17.9689259566,19.3181432466,21.1559538033,23.2443785804,25.2504641118,26.9369742364,28.2071301657,29.1352296051,29.8637318874,30.6146356033,31.5463652238,32.6988665257,34.0085255644,35.4075023742,36.7899427136,38.0799175934,39.2599975492,40.3597141807,41.4058098214,42.4412385504,43.4975523083,44.5815029256,45.6828967926,46.7966700365,
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.0560583942,4.1309665517,4.2071187936,4.2832221064,4.3585794497,4.4330255876,4.5076145023,4.5844004171,4.6661450229,4.7550228604,4.8521809577,4.9577789364,5.071835245,5.1939785032,5.3241581776,5.4614045079,5.6064410043,5.7627689099,5.9350316836,6.1258851368,6.3382289244,6.5694176626,6.8098692548,7.046404909,7.2701098901,7.4762797786,7.6690639288,7.8591922676,8.0621905831,8.2889580493,8.5447397128,8.8255057351,9.1218063688,9.4196133793,9.7095949306,9.9879241197,10.2601973209,10.5378535333,10.8371027513,11.1694312986,11.5386885377,11.9407828668,12.369515521,12.8152041389,13.2705350124,13.7341854496,14.2077677067,14.6903352852,15.1813988931,15.6806962381,16.1871260127,16.7005093447,17.222762493,
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.5766423358,62.4568978102,64.3292335766,66.2093065693,68.0580656934,69.8749270073,71.7371532847,73.8055474453,75.974270073,77.937189781,79.848649635,81.8659124088,83.8230656934,85.7709489051,87.7675547445,89.7272262774,91.7352554745,93.6593430657,95.5413138686,97.5181386861,99.4910948905,101.6159854015,103.7941605839,106.0010583942,108.2029927007,110.3151459854,112.5403284672,114.6837956204,117.8081386861,119.9467883212,119.2259124088,118.5050729927,117.7841970803,117.0633576642,116.3424817518,115.6216423358,114.9007664234,114.1799270073,113.4590510949,112.7382116788,111.6851459854,111.350729927,110.9348905109,110.4722262774,109.9082846715,109.2170437956,108.3947810219,107.5662043796,106.8437591241,106.3146350365,106.0138686131,105.8572627737,105.7432846715,
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,7.0506430145,7.2466801492,7.4498001362,7.6599775793,7.8771223436,8.1018341048,8.3340796861,8.5721468191,8.8136977962,9.0575921326,9.3016601327,9.5489818689,9.8056736092,10.0798252142,10.3769977534,10.6993991702,11.0447978863,11.4080180323,11.7813373482,12.1589398437,12.5393131132,12.9233886018,13.3107890338,13.6987732156,14.0962366314,14.4981217325,14.8991000508,15.3009817021,15.7011159212,16.2572254342,16.6963345029,16.9878758172,17.420217585,17.8539091021,18.38698031,18.7854013036,19.1753472601,19.5613874651,19.9582911376,20.3721520043,20.8066544427,21.2601096696,21.7336771867,22.2275876936,22.7413554234,23.2771817537,23.83262031,24.400089519,24.9716448612,25.5285807972,26.0719912731,26.6100843078,27.1457042488,
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,,1.1689832536,1.3011244019,1.4542344498,1.6077870813,1.7504904306,1.8766746411,2.0019138756,2.1622248804,2.4061842105,2.7694856459,3.2561124402,3.8569258373,4.5765430622,5.4168421053,6.3725119617,7.4575358852,8.6557057416,9.8946291866,11.0778947368,12.1390550239,13.0461722488,13.8249401914,14.5380382775,15.278708134,16.1150478469,17.068361244,18.1195933014,19.2484449761,20.4196770335,21.6088277512,22.8229904306,24.0786722488,25.3725239234,26.7004665072,28.0658492823,29.5551435407,31.2080502392,32.9365789474,34.6130143541,36.2003827751,37.4653588517,38.564222488,40.3020813397,43.7638516746,49.6277870813,58.3210406699,69.3462559809,81.3233851675,92.3243899522,100.9753229665,106.7595215311,110.1154425837,111.7958014354,
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,,7.6586098535,7.7814038126,7.9040205504,8.0257361996,8.1462704946,8.2650526731,8.3829286474,8.5027175164,8.6281877012,8.7618736503,8.9051591521,9.0568643142,9.213804998,9.371369428,9.5262682291,9.6773237013,9.8256521564,9.9730305588,10.1222323318,10.2752357775,10.4323555098,10.5927485393,10.7558415458,10.9206976311,11.0865384826,11.2531857828,11.4205752204,11.5881400524,11.7552251077,11.9212895871,12.0858387322,12.2486664547,12.4098626443,12.5696892962,12.7282110871,12.8856647994,13.0415860035,13.1945313499,13.3425992714,13.4845623728,13.6198696235,13.7492902009,13.8745751254,13.9982164586,14.122116133,14.2467444248,14.3718714944,14.497836072,14.6248354764,14.7529402307,14.8824813918,15.0133654159,15.1446623476,
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,67.9395504039,70.3256059009,72.7231120478,75.1012644889,77.4376536705,79.7146118721,81.9327010889,84.1108184053,86.2792413066,88.4583069898,90.6531085353,92.850860555,95.0328064629,97.1722866175,99.2500878117,101.2585528627,103.2027046013,105.0914646997,106.9393747805,108.7565156305,110.4982437654,112.1488233228,113.7763259571,115.4755180892,117.286512118,119.3014049877,121.4279592554,123.303090973,124.4369511767,124.5063224447,123.3548296452,121.1625219529,118.3587284861,115.5582367404,113.2129610116,111.4655778012,110.2090621707,109.3416930102,108.6694766421,108.0469968388,107.4801545486,107.0250087812,106.6396909027,106.2750965929,105.8980330172,105.4763259571,105.0186863365,104.5833508957,104.2554970144,104.091886196,104.1138040042,104.2880576045,104.550965929,
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,102.39,105.59,109.415,113.505,117.59,121.6,125.58,129.43,133.075,136.46,139.58,142.45,145.07,147.455,149.66,151.625,153.45,155.525,158.35,162.28,167.44,173.7,180.825,188.435,196.235,204.175,212.24,220.245,227.955,235.22,241.895,247.985,253.625,259.035,264.37,269.63,274.71,279.495,283.84,287.61,290.88,293.645,295.585,296.31,295.585,293.26,289.595,285.265,281.225,278.18,276.37,275.64,275.825,
